,wd20cd,wd20nm,total_population,mean_age,median_age,country,prediction
3876,E05009668,Skipton North,3736.0,47.3827623126338,52.0,England,False
3877,E05009669,Skipton West,4273.0,42.448864966066,42.0,England,False
3878,E05009670,Sutton-in-Craven,3930.0,44.1908396946565,47.0,England,False
3879,E05009671,West Craven,1968.0,47.5685975609756,52.0,England,False
3880,E05009672,Appleton Wiske & Smeatons,2883.0,49.6326742976067,54.0,England,False
3881,E05009673,Bagby & Thorntons,3270.0,49.2571865443425,54.0,England,False
3882,E05009674,Bedale,9750.0,43.0034871794872,43.5,England,False
3883,E05009675,Easingwold,10402.0,45.020861372812895,48.0,England,False
3884,E05009676,Great Ayton,5628.0,49.3242714996446,54.0,England,False
3885,E05009677,Huby,3610.0,46.4573407202216,51.0,England,False
3886,E05009678,Hutton Rudby,3141.0,48.9885386819484,54.0,England,False
3887,E05009679,Morton-on-Swale,3574.0,47.67627308338,53.0,England,False
3888,E05009680,Northallerton North & Brompton,5629.0,45.7775803872802,49.0,England,False
3889,E05009681,Northallerton South,7503.0,41.1254165000666,41.0,England,False
3890,E05009682,Osmotherley & Swainby,3034.0,48.3394858272907,53.0,England,False
3891,E05009683,Raskelf & White Horse,3445.0,46.544267053701,51.0,England,False
3892,E05009684,Romanby,6007.0,48.510071583153,53.0,England,False
3893,E05009685,Sowerby & Topcliffe,7459.0,42.4355811771015,43.0,England,False
3894,E05009686,Stokesley,5974.0,49.741546702377,54.0,England,False
3895,E05009687,Tanfield,3325.0,45.1278195488722,50.0,England,False
3896,E05009688,Thirsk,6960.0,44.7060344827586,48.0,England,False
3897,E05009689,Bestwood St Albans,5464.0,41.0975475841874,42.0,England,False
3898,E05009690,Calverton,7740.0,43.2170542635659,45.0,England,False
3899,E05009691,Carlton,5685.0,42.365699208443296,44.0,England,False
3900,E05009692,Carlton Hill,9434.0,39.9474242103032,39.0,England,False
3901,E05009693,Cavendish,5069.0,42.989741566383906,44.0,England,False
3902,E05009694,Colwick,2901.0,37.8145467080317,37.0,England,False
3903,E05009695,Coppice,6096.0,41.7641076115486,42.0,England,False
3904,E05009696,Daybrook,6568.0,39.5677527405603,38.0,England,False
3905,E05009697,Dumbles,2941.0,47.6861611696702,52.0,England,False
3906,E05009698,Ernehale,6363.0,41.8866886688669,42.0,England,False
3907,E05009699,Gedling,7089.0,41.3663422203414,42.0,England,False
3908,E05009700,Netherfield,5546.0,37.7217814641183,36.0,England,False
3909,E05009701,Newstead Abbey,8293.0,46.7395393705535,50.0,England,False
3910,E05009702,Phoenix,5639.0,40.744280900869,41.0,England,False
3911,E05009703,Plains,7916.0,45.4819353208691,48.0,England,False
3912,E05009704,Porchester,7994.0,42.7378033525144,44.0,England,False
3913,E05009705,Redhill,5729.0,41.732064932798,43.0,England,False
3914,E05009706,Trent Valley,5218.0,46.9051360674588,50.0,England,False
3915,E05009707,Woodthorpe,6211.0,43.4904202221864,46.0,England,False
3916,E05009708,Abbey,5439.0,39.50873322301889,40.0,England,False
3917,E05009709,Bingham East,5322.0,44.0595640736565,45.0,England,False
3918,E05009710,Bingham West,4875.0,38.5173333333333,38.0,England,False
3919,E05009711,Bunny,2504.0,45.7292332268371,51.0,England,False
3920,E05009712,Compton Acres,5572.0,41.5014357501795,42.0,England,False
3921,E05009713,Cotgrave,8113.0,40.0942931098237,39.0,England,False
3922,E05009714,Cranmer,3369.0,46.0326506381716,48.0,England,False
3923,E05009715,Cropwell,2459.0,46.0959739731598,50.0,England,False
3924,E05009716,East Bridgford,3085.0,42.890113452188,45.0,England,False
3925,E05009717,Edwalton,4892.0,42.943581357318095,44.0,England,False
3926,E05009718,Gamston North,2628.0,42.112633181126306,42.0,England,False
3927,E05009719,Gamston South,2599.0,37.4721046556368,40.0,England,False
3928,E05009720,Gotham,2497.0,46.7212655186223,51.0,England,False
3929,E05009721,Keyworth & Wolds,8025.0,47.9992523364486,51.0,England,False
3930,E05009722,Lady Bay,5633.0,37.975501508965,39.0,England,False
3931,E05009723,Leake,8679.0,41.636017974421,43.0,England,False
3932,E05009724,Lutterell,5896.0,39.8724559023067,39.0,England,False
3933,E05009725,Musters,5320.0,39.7214285714286,41.0,England,False
3934,E05009726,Nevile & Langar,2608.0,46.3493098159509,51.0,England,False
3935,E05009727,Radcliffe on Trent,8222.0,47.1706397470202,50.0,England,False
3936,E05009728,Ruddington,7856.0,41.7911150712831,42.0,England,False
3937,E05009729,Sutton Bonington,1892.0,41.6448202959831,41.0,England,False
3938,E05009730,Thoroton,2844.0,46.3308720112518,51.0,England,False
3939,E05009731,Tollerton,2524.0,47.7048335974643,51.0,England,False
3940,E05009732,Trent Bridge,6331.0,35.9507186858316,31.0,England,False
3941,E05009733,Benson & Crowmarsh,8421.0,40.1914261964137,39.0,England,False
3942,E05009734,Berinsfield,4070.0,41.7432432432432,43.0,England,False
3943,E05009735,Chalgrove,3371.0,44.0753485612578,48.0,England,False
3944,E05009736,Chinnor,8320.0,43.6329326923077,47.0,England,False
3945,E05009740,Didcot West,7705.0,35.3316028552888,34.0,England,False
3946,E05009742,Garsington & Horspath,3530.0,46.7648725212465,50.0,England,False
3947,E05009743,Goring,3873.0,48.3973663826491,51.0,England,False
3948,E05009749,Thame,12555.0,42.0668259657507,43.0,England,False
3949,E05009751,Watlington,4002.0,45.4710144927536,49.0,England,False
3950,E05009754,Abingdon Abbey Northcourt,6783.0,40.4272445820433,38.0,England,False
3951,E05009755,Abingdon Caldecott,8011.0,40.9789040069904,40.0,England,False
3952,E05009757,Abingdon Fitzharris,6487.0,41.5548019115153,41.0,England,False
3953,E05009769,Ridgeway,3064.0,45.827349869451695,49.0,England,False
