,H3_cell,mean_price,median_price,total_paid,count,geometry
184,8519463bfffffff,278836.8296703297,207475.0,50748303,182,"POLYGON ((-0.8064909837725837 54.3366871519714, -0.9143406956744738 54.2903853145996, -0.8906362900357364 54.20668297672842, -0.7594998256272458 54.16932253861693, -0.6518936310684391 54.21557034855426, -0.6751804027610868 54.29923243111866, -0.8064909837725837 54.3366871519714))"
185,85194643fffffff,168852.5663900415,139475.0,81386937,482,"POLYGON ((-1.517711311380564 54.68912181262543, -1.62625472077124 54.64238466005848, -1.601128423221329 54.55888444818572, -1.467883584820095 54.52215724848484, -1.359579056011454 54.56883721983247, -1.384280466928813 54.6523013729853, -1.517711311380564 54.68912181262543))"
186,85194647fffffff,202822.69608659451,170000.0,243590058,1201,"POLYGON ((-1.359579056011454 54.56883721983247, -1.467883584820095 54.52215724848484, -1.44309497730016 54.43857512056794, -1.31042444816623 54.40170986526158, -1.202359486828724 54.44833340634301, -1.226725477554241 54.53187843561824, -1.359579056011454 54.56883721983247))"
187,8519464bfffffff,161015.86466165414,99975.0,42830220,266,"POLYGON ((-1.760076260878402 54.67897156296982, -1.868582295394816 54.63196503013608, -1.843030793119116 54.54842988051593, -1.709398429999986 54.5119360015371, -1.601128423221329 54.55888444818572, -1.62625472077124 54.64238466005848, -1.760076260878402 54.67897156296982))"
188,8519464ffffffff,193285.37457044673,149997.0,112492088,582,"POLYGON ((-1.601128423221329 54.55888444818572, -1.709398429999986 54.5119360015371, -1.684186860438667 54.42831789046974, -1.551128223751166 54.39168401096838, -1.44309497730016 54.43857512056794, -1.467883584820095 54.52215724848484, -1.601128423221329 54.55888444818572))"
189,85194653fffffff,102485.10774410775,80000.0,60876154,594,"POLYGON ((-1.433933552501874 54.81902902370526, -1.542751256757502 54.77250360453595, -1.517711311380564 54.68912181262543, -1.384280466928813 54.6523013729853, -1.275703781323833 54.69876976525115, -1.300316907798607 54.78211542406063, -1.433933552501874 54.81902902370526))"
190,85194657fffffff,134414.52209026128,105000.0,282942569,2105,"POLYGON ((-1.275703781323833 54.69876976525115, -1.384280466928813 54.6523013729853, -1.359579056011454 54.56883721983247, -1.226725477554241 54.53187843561824, -1.118390486521405 54.57829055879194, -1.142667374167699 54.66171753702536, -1.275703781323833 54.69876976525115))"
191,8519465bfffffff,171793.08258064516,120000.0,133139639,775,"POLYGON ((-1.67676179338319 54.80918345607851, -1.78554336133159 54.76238836624054, -1.760076260878402 54.67897156296982, -1.62625472077124 54.64238466005848, -1.517711311380564 54.68912181262543, -1.542751256757502 54.77250360453595, -1.67676179338319 54.80918345607851))"
192,85194663fffffff,260550.3045685279,219950.0,51328410,197,"POLYGON ((-1.285970439197859 54.31804731096621, -1.39376622770642 54.27121279431812, -1.369225275023634 54.18743324868164, -1.237307000472083 54.15052607661377, -1.129749333211072 54.19730473928607, -1.153871813616264 54.28104623321935, -1.285970439197859 54.31804731096621))"
193,85194667fffffff,325457.954887218,270000.0,43285908,133,"POLYGON ((-1.129749333211072 54.19730473928607, -1.237307000472083 54.15052607661377, -1.213096774112845 54.06666805202788, -1.081745109052124 54.02962757187132, -0.9744261926913429 54.07635111434092, -0.9982201929461252 54.16017006412957, -1.129749333211072 54.19730473928607))"
194,8519466bfffffff,343127.1666666667,309975.0,24705156,72,"POLYGON ((-1.526253497043975 54.30798443552778, -1.634016335262682 54.2608826358837, -1.609056556450131 54.17706614785891, -1.476752747386469 54.14038820621452, -1.369225275023634 54.18743324868164, -1.39376622770642 54.27121279431812, -1.526253497043975 54.30798443552778))"
195,8519466ffffffff,374298.5208333333,328495.0,53898987,144,"POLYGON ((-1.369225275023634 54.18743324868164, -1.476752747386469 54.14038820621452, -1.452125915298876 54.05649221061067, -1.320388206673679 54.01967903455429, -1.213096774112845 54.06666805202788, -1.237307000472083 54.15052607661377, -1.369225275023634 54.18743324868164))"
196,85194673fffffff,369891.4210526316,320000.0,7027937,19,"POLYGON ((-1.202359486828724 54.44833340634301, -1.31042444816623 54.40170986526158, -1.285970439197859 54.31804731096621, -1.153871813616264 54.28104623321935, -1.046047072177145 54.32761408980547, -1.070080735122537 54.41123851300303, -1.202359486828724 54.44833340634301))"
197,85194677fffffff,325474.1935483871,284000.0,30269100,93,"POLYGON ((-1.046047072177145 54.32761408980547, -1.153871813616264 54.28104623321935, -1.129749333211072 54.19730473928607, -0.9982201929461252 54.16017006412957, -0.8906362900357364 54.20668297672842, -0.9143406956744738 54.2903853145996, -1.046047072177145 54.32761408980547))"
198,8519467bfffffff,259672.1684981685,199950.0,70890502,273,"POLYGON ((-1.44309497730016 54.43857512056794, -1.551128223751166 54.39168401096838, -1.526253497043975 54.30798443552778, -1.39376622770642 54.27121279431812, -1.285970439197859 54.31804731096621, -1.31042444816623 54.40170986526158, -1.44309497730016 54.43857512056794))"
199,851946abfffffff,265755.6818181818,253750.0,11693250,44,"POLYGON ((-0.4823679071470376 54.4746384705029, -0.5905039487194271 54.42881375911212, -0.5673096872014503 54.34526890779568, -0.4363983887778382 54.30759000544173, -0.3285106199431502 54.35336179737065, -0.3512859128827463 54.43686521838418, -0.4823679071470376 54.4746384705029))"
200,851946affffffff,150132.12926136365,133250.0,105693019,704,"POLYGON ((-0.3285106199431502 54.35336179737065, -0.4363983887778382 54.30759000544173, -0.4135287672644034 54.22396927215875, -0.2831880444415337 54.18616257774539, -0.1755490338358478 54.23188219414396, -0.1980020315083151 54.31546048959401, -0.3285106199431502 54.35336179737065))"
201,851946cbfffffff,144134.18073394496,110000.0,157106257,1090,"POLYGON ((-1.349793163247475 54.94860513630228, -1.458886055002746 54.90229188255023, -1.433933552501874 54.81902902370526, -1.300316907798607 54.78211542406063, -1.191467190711127 54.82837180374128, -1.215990934386735 54.91159845625015, -1.349793163247475 54.94860513630228))"
202,851946cffffffff,113875.265625,95000.0,36440085,320,"POLYGON ((-1.191467190711127 54.82837180374128, -1.300316907798607 54.78211542406063, -1.275703781323833 54.69876976525115, -1.142667374167699 54.66171753702536, -1.034061496456277 54.70791780730645, -1.058248185789284 54.79122621609552, -1.191467190711127 54.82837180374128))"
204,85194843fffffff,322944.24911660777,280000.0,182786445,566,"POLYGON ((1.032175788075618 51.20123816102895, 0.9303581280183337 51.15411513213262, 0.9496840582645639 51.06846508335286, 1.070459992003971 51.02999338860538, 1.172043584231026 51.07707178348537, 1.153085216654028 51.16266634993166, 1.032175788075618 51.20123816102895))"
206,8519484bfffffff,309157.2762973352,260000.0,220429138,713,"POLYGON ((0.8090736973723116 51.19249364983366, 0.707251240003545 51.14512195511556, 0.7269453743110863 51.05941742296285, 0.8480936772652931 51.02113891048859, 0.9496840582645639 51.06846508335286, 0.9303581280183337 51.15411513213262, 0.8090736973723116 51.19249364983366))"
207,8519484ffffffff,293044.6971428571,260000.0,51282822,175,"POLYGON ((0.9496840582645639 51.06846508335286, 0.8480936772652931 51.02113891048859, 0.8675116052018564 50.9353861317387, 0.9881536742732812 50.89701472647545, 1.089511769952805 50.94429596714782, 1.070459992003971 51.02999338860538, 0.9496840582645639 51.06846508335286))"
208,85194853fffffff,356636.8885400314,280000.0,227177698,637,"POLYGON ((1.114988315063807 51.33370413631495, 1.012942798827725 51.28678477799964, 1.032175788075618 51.20123816102895, 1.153085216654028 51.16266634993166, 1.254894869944498 51.20954137079262, 1.236030859632964 51.29503238247725, 1.114988315063807 51.33370413631495))"
209,85194857fffffff,265669.13153456995,205000.0,157541795,593,"POLYGON ((1.254894869944498 51.20954137079262, 1.153085216654028 51.16266634993166, 1.172043584231026 51.07707178348537, 1.292444612283738 51.03840855685679, 1.394018238687216 51.08523983526231, 1.375426760877028 51.17077792679788, 1.254894869944498 51.20954137079262))"
210,8519485bfffffff,379320.12847222225,324997.5,109244197,288,"POLYGON ((0.8915226017155073 51.32526313171959, 0.7894710716360113 51.27809487349491, 0.8090736973723116 51.19249364983366, 0.9303581280183337 51.15411513213262, 1.032175788075618 51.20123816102895, 1.012942798827725 51.28678477799964, 0.8915226017155073 51.32526313171959))"
211,851948c3fffffff,262905.69823100936,222000.0,252652376,961,"POLYGON ((1.42156190219559 51.47355699441268, 1.319298438723227 51.42709027395185, 1.338067137144821 51.34170350918046, 1.458729494679345 51.30284002583184, 1.560753326255719 51.34926360337617, 1.542354320836266 51.4345936501921, 1.42156190219559 51.47355699441268))"
212,851948cbfffffff,320797.8981288981,295000.0,154303789,481,"POLYGON ((1.198123166144928 51.46586179646457, 1.095849217897076 51.41914662726962, 1.114988315063807 51.33370413631495, 1.236030859632964 51.29503238247725, 1.338067137144821 51.34170350918046, 1.319298438723227 51.42709027395185, 1.198123166144928 51.46586179646457))"
213,851948cffffffff,312482.23943661974,275000.0,133117434,426,"POLYGON ((1.338067137144821 51.34170350918046, 1.236030859632964 51.29503238247725, 1.254894869944498 51.20954137079262, 1.375426760877028 51.17077792679788, 1.477225215274289 51.2174056116063, 1.458729494679345 51.30284002583184, 1.338067137144821 51.34170350918046))"
214,85194a03fffffff,441495.0139275766,372500.0,158496710,359,"POLYGON ((0.05651248589036682 51.02960589867546, -0.04507294726475545 50.9812822868461, -0.02418448346251732 50.89531813403524, 0.09792090044996626 50.85772875474331, 0.1992821984902388 50.90600392351862, 0.1787621950304535 50.99191675333262, 0.05651248589036682 51.02960589867546))"
215,85194a07fffffff,296376.1385799829,265000.0,346463706,1169,"POLYGON ((0.1992821984902388 50.90600392351862, 0.09792090044996626 50.85772875474331, 0.1185276449996562 50.77171428801434, 0.2401291541688187 50.73402704296652, 0.3412659959096388 50.78225435242318, 0.3210257264700241 50.86821660661348, 0.1992821984902388 50.90600392351862))"
216,85194a0bfffffff,430069.4606116775,370000.0,464044948,1079,"POLYGON ((-0.1676843980016917 51.01877173205013, -0.2692604897621233 50.97019725268139, -0.2480030688302645 50.88418280048087, -0.1255385564955058 50.84679296464716, -0.02418448346251732 50.89531813403524, -0.04507294726475545 50.9812822868461, -0.1676843980016917 51.01877173205013))"
217,85194a0ffffffff,384586.2104722793,320000.0,374586969,974,"POLYGON ((-0.02418448346251732 50.89531813403524, -0.1255385564955058 50.84679296464716, -0.1045648226549018 50.7607273033445, 0.01739594596270472 50.72323784526746, 0.1185276449996562 50.77171428801434, 0.09792090044996626 50.85772875474331, -0.02418448346251732 50.89531813403524))"
218,85194a13fffffff,489741.7967479675,390000.0,180714723,369,"POLYGON ((0.1375276379247999 51.16358931854568, 0.03571021117280077 51.11546782498147, 0.05651248589036682 51.02960589867546, 0.1787621950304535 50.99191675333262, 0.280353712579347 51.03999008572973, 0.2599213736960176 51.12580056275485, 0.1375276379247999 51.16358931854568))"
219,85194a17fffffff,423833.14715719066,339000.0,126726111,299,"POLYGON ((0.280353712579347 51.03999008572973, 0.1787621950304535 50.99191675333262, 0.1992821984902388 50.90600392351862, 0.3210257264700241 50.86821660661348, 0.422391023861791 50.9162423673841, 0.4022389513239568 51.00210285649395, 0.280353712579347 51.03999008572973))"
220,85194a1bfffffff,442261.93485714286,375000.0,386979193,875,"POLYGON ((-0.08704789762074169 51.15305672832391, -0.1888571206002735 51.10468408424408, -0.1676843980016917 51.01877173205013, -0.04507294726475545 50.9812822868461, 0.05651248589036682 51.02960589867546, 0.03571021117280077 51.11546782498147, -0.08704789762074169 51.15305672832391))"
221,85194a43fffffff,492727.4459930314,400000.0,141412777,287,"POLYGON ((-0.5372530280620194 51.13063149576187, -0.6390359637808485 51.08175481582106, -0.6171209420757247 50.99574470519679, -0.4937943846396649 50.95865947119434, -0.3922309057142754 51.00748539087054, -0.4137745551164884 51.09344713973795, -0.5372530280620194 51.13063149576187))"
222,85194a47fffffff,473768.41891891893,409997.5,210353178,444,"POLYGON ((-0.3922309057142754 51.00748539087054, -0.4937943846396649 50.95865947119434, -0.4721675427253306 50.8725957489946, -0.349346676554008 50.83540705302541, -0.2480030688302645 50.88418280048087, -0.2692604897621233 50.97019725268139, -0.3922309057142754 51.00748539087054))"
223,85194a4bfffffff,557029.4689119171,425000.0,215013375,386,"POLYGON ((-0.7628703323722804 51.11873449658457, -0.86463515670628 51.06960496256643, -0.8423483509129407 50.98354753068278, -0.7186685228238182 50.94666678799982, -0.6171209420757247 50.99574470519679, -0.6390359637808485 51.08175481582106, -0.7628703323722804 51.11873449658457))"
224,85194a4ffffffff,523879.26845637587,392000.0,78058011,149,"POLYGON ((-0.6171209420757247 50.99574470519679, -0.7186685228238182 50.94666678799982, -0.6966718293013128 50.86055483085538, -0.5734974307177894 50.82356886138601, -0.4721675427253306 50.8725957489946, -0.4937943846396649 50.95865947119434, -0.6171209420757247 50.99574470519679))"
225,85194a53fffffff,610960.9711286089,520000.0,232776130,381,"POLYGON ((-0.4570665005987207 51.26521391401484, -0.5590854654875249 51.21653904327868, -0.5372530280620194 51.13063149576187, -0.4137745551164884 51.09344713973795, -0.3119768244070202 51.14207151778541, -0.3334363638106165 51.22793057885664, -0.4570665005987207 51.26521391401484))"
226,85194a57fffffff,386583.0818505338,335000.0,434519384,1124,"POLYGON ((-0.3119768244070202 51.14207151778541, -0.4137745551164884 51.09344713973795, -0.3922309057142754 51.00748539087054, -0.2692604897621233 50.97019725268139, -0.1676843980016917 51.01877173205013, -0.1888571206002735 51.10468408424408, -0.3119768244070202 51.14207151778541))"
227,85194a5bfffffff,584399.6438848921,460000.0,324926202,556,"POLYGON ((-0.6830741417701374 51.25361752359757, -0.7850760944822384 51.20468949014294, -0.7628703323722804 51.11873449658457, -0.6390359637808485 51.08175481582106, -0.5372530280620194 51.13063149576187, -0.5590854654875249 51.21653904327868, -0.6830741417701374 51.25361752359757))"
228,85194a73fffffff,403685.3569427771,335000.0,1008809707,2499,"POLYGON ((-0.2480030688302645 50.88418280048087, -0.349346676554008 50.83540705302541, -0.3280054716912696 50.74929122097596, -0.2056881696780164 50.71200114531977, -0.1045648226549018 50.7607273033445, -0.1255385564955058 50.84679296464716, -0.2480030688302645 50.88418280048087))"
229,85194a7bfffffff,312695.5933133733,285000.0,626641969,2004,"POLYGON ((-0.4721675427253306 50.8725957489946, -0.5734974307177894 50.82356886138601, -0.5517883058459964 50.73740388816192, -0.4291172430620276 50.70031478087019, -0.3280054716912696 50.74929122097596, -0.349346676554008 50.83540705302541, -0.4721675427253306 50.8725957489946))"
230,85194a83fffffff,362698.8984587489,320000.0,400056885,1103,"POLYGON ((0.4434538024388197 51.30704692584785, 0.3413999875022228 51.25937892067131, 0.3617437304864788 51.1736715045641, 0.4837703633213463 51.13568452297741, 0.585594391711485 51.1833055268818, 0.565621503946714 51.2689603523234, 0.4434538024388197 51.30704692584785))"
231,85194a87fffffff,445006.8585526316,390000.0,135282085,304,"POLYGON ((0.585594391711485 51.1833055268818, 0.4837703633213463 51.13568452297741, 0.5038333112341208 51.04992651268776, 0.6253513985838689 51.01184282484068, 0.7269453743110863 51.05941742296285, 0.707251240003545 51.14512195511556, 0.585594391711485 51.1833055268818))"
232,85194a8bfffffff,491043.0415800416,375000.0,472383406,962,"POLYGON ((0.2188625323396274 51.29726713088804, 0.1168124792084978 51.24934830811168, 0.1375276379247999 51.16358931854568, 0.2599213736960176 51.12580056275485, 0.3617437304864788 51.1736715045641, 0.3413999875022228 51.25937892067131, 0.2188625323396274 51.29726713088804))"
233,85194a8ffffffff,579361.5352697095,455000.0,139626130,241,"POLYGON ((0.3617437304864788 51.1736715045641, 0.2599213736960176 51.12580056275485, 0.280353712579347 51.03999008572973, 0.4022389513239568 51.00210285649395, 0.5038333112341208 51.04992651268776, 0.4837703633213463 51.13568452297741, 0.3617437304864788 51.1736715045641))"
234,85194a93fffffff,280746.46089150547,250000.0,667615084,2378,"POLYGON ((0.5254854856721364 51.44011511127079, 0.4231995945703563 51.39265058063999, 0.4434538024388197 51.30704692584785, 0.565621503946714 51.2689603523234, 0.6676758058154982 51.31637816437154, 0.647793921578214 51.40192910663573, 0.5254854856721364 51.44011511127079))"
235,85194a97fffffff,470736.35,377500.0,84732543,180,"POLYGON ((0.6676758058154982 51.31637816437154, 0.565621503946714 51.2689603523234, 0.585594391711485 51.1833055268818, 0.707251240003545 51.14512195511556, 0.8090736973723116 51.19249364983366, 0.7894710716360113 51.27809487349491, 0.6676758058154982 51.31637816437154))"
236,85194a9bfffffff,420124.36808510637,370000.0,197458453,470,"POLYGON ((0.3005187360145891 51.43063808886089, 0.1982354244706126 51.38292248124412, 0.2188625323396274 51.29726713088804, 0.3413999875022228 51.25937892067131, 0.4434538024388197 51.30704692584785, 0.4231995945703563 51.39265058063999, 0.3005187360145891 51.43063808886089))"
237,85194aa3fffffff,244258.48056537102,220000.0,207375450,849,"POLYGON ((0.6451361019446668 50.92603568812779, 0.5437700156937099 50.8782587278175, 0.5636443563510424 50.79234969815461, 0.6845193558539612 50.75427170189285, 0.7856569149515493 50.80200255039173, 0.7661479249120854 50.88785734962688, 0.6451361019446668 50.92603568812779))"
238,85194aabfffffff,278696.31074766355,252000.0,238564042,856,"POLYGON ((0.422391023861791 50.9162423673841, 0.3210257264700241 50.86821660661348, 0.3412659959096388 50.78225435242318, 0.4625055663730612 50.74437092503135, 0.5636443563510424 50.79234969815461, 0.5437700156937099 50.8782587278175, 0.422391023861791 50.9162423673841))"
239,85194ab3fffffff,362692.85714285716,300000.0,48238150,133,"POLYGON ((0.7269453743110863 51.05941742296285, 0.6253513985838689 51.01184282484068, 0.6451361019446668 50.92603568812779, 0.7661479249120854 50.88785734962688, 0.8675116052018564 50.9353861317387, 0.8480936772652931 51.02113891048859, 0.7269453743110863 51.05941742296285))"
240,85194abbfffffff,384554.61132075475,350000.0,101906972,265,"POLYGON ((0.5038333112341208 51.04992651268776, 0.4022389513239568 51.00210285649395, 0.422391023861791 50.9162423673841, 0.5437700156937099 50.8782587278175, 0.6451361019446668 50.92603568812779, 0.6253513985838689 51.01184282484068, 0.5038333112341208 51.04992651268776))"
241,85194ac3fffffff,449449.06256368454,385000.0,2205446550,4907,"POLYGON ((-0.1505100096980617 51.4103281229965, -0.252778224807949 51.36210851644336, -0.2314037208827554 51.27635284980013, -0.1081349995814623 51.23886626816462, -0.006091998755777998 51.28703651795584, -0.02709254981151247 51.37274254089537, -0.1505100096980617 51.4103281229965))"
242,85194ac7fffffff,518900.5380116959,422500.0,266195976,513,"POLYGON ((-0.006091998755777998 51.28703651795584, -0.1081349995814623 51.23886626816462, -0.08704789762074169 51.15305672832391, 0.03571021117280077 51.11546782498147, 0.1375276379247999 51.16358931854568, 0.1168124792084978 51.24934830811168, -0.006091998755777998 51.28703651795584))"
243,85194acbfffffff,647997.6150110376,490000.0,1467714598,2265,"POLYGON ((-0.3765597653324577 51.39949068749302, -0.4788154332606211 51.35101818970246, -0.4570665005987207 51.26521391401484, -0.3334363638106165 51.22793057885664, -0.2314037208827554 51.27635284980013, -0.252778224807949 51.36210851644336, -0.3765597653324577 51.39949068749302))"
244,85194acffffffff,417371.2240844196,360000.0,672385042,1611,"POLYGON ((-0.2314037208827554 51.27635284980013, -0.3334363638106165 51.22793057885664, -0.3119768244070202 51.14207151778541, -0.1888571206002735 51.10468408424408, -0.08704789762074169 51.15305672832391, -0.1081349995814623 51.23886626816462, -0.2314037208827554 51.27635284980013))"
245,85194ad3fffffff,633082.7227877838,490000.0,8892913007,14047,"POLYGON ((-0.06929409787986855 51.54399608943081, -0.171798544609975 51.49597969639886, -0.1505100096980617 51.4103281229965, -0.02709254981151247 51.37274254089537, 0.07518487487713633 51.42070984556817, 0.0542718130165512 51.50631165484364, -0.06929409787986855 51.54399608943081))"
246,85194ad7fffffff,500405.79833333334,430000.0,900730437,1800,"POLYGON ((0.07518487487713633 51.42070984556817, -0.02709254981151247 51.37274254089537, -0.006091998755777998 51.28703651795584, 0.1168124792084978 51.24934830811168, 0.2188625323396274 51.29726713088804, 0.1982354244706126 51.38292248124412, 0.07518487487713633 51.42070984556817))"
247,85194adbfffffff,734520.7841532781,575000.0,7360632778,10021,"POLYGON ((-0.2957312202086708 51.53346055976095, -0.3982242646620345 51.48519099048239, -0.3765597653324577 51.39949068749302, -0.252778224807949 51.36210851644336, -0.1505100096980617 51.4103281229965, -0.171798544609975 51.49597969639886, -0.2957312202086708 51.53346055976095))"
248,85194c4bfffffff,332921.9696969697,302500.0,43945700,132,"POLYGON ((1.39303478629957 52.115371084413, 1.289596476457446 52.06943418924786, 1.308629879247167 51.98446717094164, 1.430723169653458 51.94549219007158, 1.533916576364444 51.99138557764411, 1.51526148178034 52.07629729141198, 1.39303478629957 52.115371084413))"
250,85194c5bfffffff,308855.9013157895,266000.0,93892194,304,"POLYGON ((1.477771174956807 52.24596003210688, 1.374099690703379 52.2002300804246, 1.39303478629957 52.115371084413, 1.51526148178034 52.07629729141198, 1.618686178178375 52.12198401704057, 1.60013084849948 52.20678759889599, 1.477771174956807 52.24596003210688))"
251,85194e03fffffff,307423.07547169813,270000.0,293281614,954,"POLYGON ((0.6303882323482692 51.96102899457063, 0.5271655838053348 51.9141315294878, 0.5474309791538098 51.82889760587567, 0.670540062560414 51.79061314588441, 0.7735258805394202 51.83746410620485, 0.7536393652221248 51.92264586588114, 0.6303882323482692 51.96102899457063))"
252,85194e07fffffff,347722.3218390805,300000.0,90755526,261,"POLYGON ((0.7735258805394202 51.83746410620485, 0.670540062560414 51.79061314588441, 0.6905199499671298 51.70532490032161, 0.8131088158318425 51.66694051750804, 0.9158575576213462 51.71374559754104, 0.8962544236630333 51.79898077705768, 0.7735258805394202 51.83746410620485))"
253,85194e0bfffffff,420470.4498567335,365250.0,146744187,349,"POLYGON ((0.4035339003328077 51.95231398447687, 0.3003123342094513 51.90516380636657, 0.3209572175984165 51.81987874103719, 0.4444441085163977 51.78179482896927, 0.5474309791538098 51.82889760587567, 0.5271655838053348 51.9141315294878, 0.4035339003328077 51.95231398447687))"
254,85194e0ffffffff,373856.73201692523,325000.0,530128846,1418,"POLYGON ((0.5474309791538098 51.82889760587567, 0.4444441085163977 51.78179482896927, 0.4648013745813435 51.69645453362495, 0.5877680563112744 51.6582689001643, 0.6905199499671298 51.70532490032161, 0.670540062560414 51.79061314588441, 0.5474309791538098 51.82889760587567))"
255,85194e13fffffff,310821.4677103718,275000.0,158829770,511,"POLYGON ((0.7136747369671699 52.09284753169542, 0.610215683104552 52.04615588257523, 0.6303882323482692 51.96102899457063, 0.7536393652221248 51.92264586588114, 0.856859721409804 51.96929128063188, 0.8370675577453491 52.05436589244748, 0.7136747369671699 52.09284753169542))"
256,85194e17fffffff,289068.8008766437,260000.0,461642875,1597,"POLYGON ((0.856859721409804 51.96929128063188, 0.7536393652221248 51.92264586588114, 0.7735258805394202 51.83746410620485, 0.8962544236630333 51.79898077705768, 0.9992358481188535 51.84558058774808, 0.9797275709118567 51.93070916744754, 0.856859721409804 51.96929128063188))"
257,85194e1bfffffff,401041.65,320000.0,64166664,160,"POLYGON ((0.4864395496725165 52.08443672682002, 0.3829803407511692 52.03749212662957, 0.4035339003328077 51.95231398447687, 0.5271655838053348 51.9141315294878, 0.6303882323482692 51.96102899457063, 0.610215683104552 52.04615588257523, 0.4864395496725165 52.08443672682002))"
258,85194e23fffffff,352510.4006024096,310000.0,117033453,332,"POLYGON ((0.8328058311650387 51.58159940586624, 0.7302891714863198 51.53458956381485, 0.7500791009032517 51.44914319537337, 0.872012431885091 51.41076035062328, 0.9742936245893355 51.45772464735843, 0.9548768658719202 51.54311717288894, 0.8328058311650387 51.58159940586624))"
259,85194e27fffffff,348566.9864498645,305000.0,128621218,369,"POLYGON ((0.9742936245893355 51.45772464735843, 0.872012431885091 51.41076035062328, 0.8915226017155073 51.32526313171959, 1.012942798827725 51.28678477799964, 1.114988315063807 51.33370413631495, 1.095849217897076 51.41914662726962, 0.9742936245893355 51.45772464735843))"
260,85194e2bfffffff,330168.50718132855,275500.0,367807717,1114,"POLYGON ((0.6078403444308247 51.5728748383384, 0.5053217600883795 51.5256143120684, 0.5254854856721364 51.44011511127079, 0.647793921578214 51.40192910663573, 0.7500791009032517 51.44914319537337, 0.7302891714863198 51.53458956381485, 0.6078403444308247 51.5728748383384))"
261,85194e2ffffffff,269712.4988207547,240000.0,228716199,848,"POLYGON ((0.7500791009032517 51.44914319537337, 0.647793921578214 51.40192910663573, 0.6676758058154982 51.31637816437154, 0.7894710716360113 51.27809487349491, 0.8915226017155073 51.32526313171959, 0.872012431885091 51.41076035062328, 0.7500791009032517 51.44914319537337))"
262,85194e33fffffff,372500.347826087,279250.0,17135016,46,"POLYGON ((0.9158575576213462 51.71374559754104, 0.8131088158318425 51.66694051750804, 0.8328058311650387 51.58159940586624, 0.9548768658719202 51.54311717288894, 1.05738830989968 51.58987699119737, 1.038065925430535 51.6751641423735, 0.9158575576213462 51.71374559754104))"
263,85194e3bfffffff,321521.7606619987,300000.0,505110686,1571,"POLYGON ((0.6905199499671298 51.70532490032161, 0.5877680563112744 51.6582689001643, 0.6078403444308247 51.5728748383384, 0.7302891714863198 51.53458956381485, 0.8328058311650387 51.58159940586624, 0.8131088158318425 51.66694051750804, 0.6905199499671298 51.70532490032161))"
264,85194e43fffffff,519015.6238938053,435000.0,117297531,226,"POLYGON ((0.03083336995144973 52.06624646622816, -0.07261590585407318 52.01879400437745, -0.05129858945458984 51.93351644433464, 0.07308579205334735 51.89574036858542, 0.1763028841734967 51.94314390730678, 0.1553677239422789 52.02837227546571, 0.03083336995144973 52.06624646622816))"
265,85194e47fffffff,458958.15883977903,399000.0,332285707,724,"POLYGON ((0.1763028841734967 51.94314390730678, 0.07308579205334735 51.89574036858542, 0.09411073723311561 51.81040518981712, 0.2179726521679428 51.77252349550631, 0.3209572175984165 51.81987874103719, 0.3003123342094513 51.90516380636657, 0.1763028841734967 51.94314390730678))"
266,85194e4bfffffff,342031.5827702703,290000.0,404965394,1184,"POLYGON ((-0.1975250647611447 52.05646235527439, -0.3009642197493146 52.00875501367884, -0.2792642267932731 51.92342930173213, -0.154507799736684 51.88585891275974, -0.05129858945458984 51.93351644433464, -0.07261590585407318 52.01879400437745, -0.1975250647611447 52.05646235527439))"
267,85194e4ffffffff,457582.1618759455,390000.0,302461809,661,"POLYGON ((-0.05129858945458984 51.93351644433464, -0.154507799736684 51.88585891275974, -0.1331022536137593 51.8004746547703, -0.008868148669403851 51.76279683876956, 0.09411073723311561 51.81040518981712, 0.07308579205334735 51.89574036858542, -0.05129858945458984 51.93351644433464))"
268,85194e53fffffff,587794.151724138,470000.0,255690456,435,"POLYGON ((0.1132952652774396 52.1986635433904, 0.009605253222124719 52.15141666648389, 0.03083336995144973 52.06624646622816, 0.1553677239422789 52.02837227546571, 0.2588236790467983 52.07557048500227, 0.2379792785104799 52.16069138259354, 0.1132952652774396 52.1986635433904))"
269,85194e57fffffff,443364.43298969074,394750.0,129019050,291,"POLYGON ((0.2588236790467983 52.07557048500227, 0.1553677239422789 52.02837227546571, 0.1763028841734967 51.94314390730678, 0.3003123342094513 51.90516380636657, 0.4035339003328077 51.95231398447687, 0.3829803407511692 52.03749212662957, 0.2588236790467983 52.07557048500227))"
270,85194e5bfffffff,417851.8677042801,341990.0,107387930,257,"POLYGON ((-0.1154563439449976 52.18918283879583, -0.2191374344592494 52.1416808182628, -0.1975250647611447 52.05646235527439, -0.07261590585407318 52.01879400437745, 0.03083336995144973 52.06624646622816, 0.009605253222124719 52.15141666648389, -0.1154563439449976 52.18918283879583))"
271,85194e63fffffff,424254.6544434858,369000.0,983422289,2318,"POLYGON ((0.2387078883708132 51.6871321727818, 0.1359596806275017 51.63957237832367, 0.1567843069188221 51.55407547170471, 0.279980621827643 51.51618910528853, 0.3824978230126184 51.56370096149118, 0.362049653390951 51.64914695700821, 0.2387078883708132 51.6871321727818))"
