,H3_cell,mean_price,median_price,total_paid,count,geometry
12,8518748bfffffff,313864.5641025641,255000.0,48962872,156,"POLYGON ((-4.571678005498153 50.98450341518569, -4.672869909616042 50.9312017241846, -4.644286465227518 50.84460414227664, -4.514886110438098 50.81133710029483, -4.413871000975536 50.86457375009718, -4.442079299302558 50.95114230454934, -4.571678005498153 50.98450341518569))"
13,8518748ffffffff,298888.77358490566,230000.0,15841105,53,"POLYGON ((-4.413871000975536 50.86457375009718, -4.514886110438098 50.81133710029483, -4.486623252181782 50.72466808674839, -4.357718726381222 50.69126556708913, -4.256881457391906 50.74443773084482, -4.284770729519976 50.83107672296119, -4.413871000975536 50.86457375009718))"
14,85187493fffffff,276995.7424892704,230000.0,129080016,466,"POLYGON ((-4.267444953340611 51.14349702000106, -4.368965070136163 51.09065121698396, -4.340812135809276 51.00418386722088, -4.211516032001266 50.970592403415, -4.110177089009285 51.02337410252889, -4.137952936533132 51.10981119042187, -4.267444953340611 51.14349702000106))"
15,85187497fffffff,292450.54807692306,232500.0,30414857,104,"POLYGON ((-4.110177089009285 51.02337410252889, -4.211516032001266 50.970592403415, -4.183683065913268 50.8840539917421, -4.054886506355523 50.85032835634127, -3.953729742701045 50.90304651700967, -3.981187227848731 50.98955367382511, -4.110177089009285 51.02337410252889))"
16,8518749bfffffff,259856.91666666666,222500.0,3118283,12,"POLYGON ((-4.498762229342218 51.12410632944464, -4.600207851160959 51.07099991098289, -4.571678005498153 50.98450341518569, -4.442079299302558 50.95114230454934, -4.340812135809276 51.00418386722088, -4.368965070136163 51.09065121698396, -4.498762229342218 51.12410632944464))"
18,8519400bfffffff,180520.5128205128,152500.0,7040300,39,"POLYGON ((-0.04239074790099406 53.72908822951811, -0.1490177749095952 53.6830492214841, -0.1269143711643511 53.59897939343111, 0.001409834311970959 53.56099362723907, 0.1077909500074361 53.60698223349774, 0.08609371537287519 53.69100682387285, -0.04239074790099406 53.72908822951811))"
19,8519400ffffffff,212617.3076923077,160000.0,8292075,39,"POLYGON ((0.1077909500074361 53.60698223349774, 0.001409834311970959 53.56099362723907, 0.0232019394049032 53.47685469621947, 0.1509712148568125 53.43875040067279, 0.2571060313370548 53.48468931310462, 0.2357178085425575 53.56878203289552, 0.1077909500074361 53.60698223349774))"
20,8519401bfffffff,129832.70370370371,120000.0,10516449,81,"POLYGON ((0.04248329617456244 53.8588716972588, -0.06439992943766677 53.81304323728322, -0.04239074790099406 53.72908822951811, 0.08609371537287519 53.69100682387285, 0.1927289793163692 53.73678509446205, 0.1711276809147541 53.82069477549482, 0.04248329617456244 53.8588716972588))"
21,85194023fffffff,220997.5,155000.0,4419950,20,"POLYGON ((0.4055599649987281 53.36221307809506, 0.2996718067675038 53.31632315741447, 0.3208500382879735 53.23205039028053, 0.4475170340327314 53.19371550077236, 0.5531582032544099 53.23955712584712, 0.5323792894626892 53.32378175771275, 0.4055599649987281 53.36221307809506))"
22,8519402bfffffff,194787.06666666668,171000.0,29218060,150,"POLYGON ((0.1724549366375802 53.35454382436485, 0.06657152188867078 53.30839524322997, 0.08814969039523178 53.22407539279637, 0.2152112714367204 53.18595102732819, 0.3208500382879735 53.23205039028053, 0.2996718067675038 53.31632315741447, 0.1724549366375802 53.35454382436485))"
